,Botanist_Name,Botanist_Email,Botanist_Phone,Last_Watered,Plant_Name,Scientific_Name,Recording_Time,Cycle,Temperature,Soil_Moisture,Sunlight,Humidity
18,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 14:23:59,Anthurium,Anthurium andraeanum,2023-08-31 08:48:55,Herbaceous Perennial,11.057150667978885,37.04013022317189,part sun/part shade,-
19,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:03:26,Bird of Paradise,Heliconia schiedeana 'Fire and Ice',2023-08-31 08:48:56,Herbaceous Perennial,9.57875238823296,30.67192631968811,"full sun, part shade",-
20,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:44:00,Ficus,Ficus carica,2023-08-31 08:48:57,Perennial,13.086290881517007,35.22648465373135,"full sun, part sun/part shade",-
21,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:58:41,Palm Trees,-,2023-08-31 08:48:57,-,11.615032138671655,36.082309686145145,-,-
22,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:23:18,Dieffenbachia Seguine,Dieffenbachia seguine,2023-08-31 08:48:58,Herbaceous Perennial,14.176489688725038,38.9688556025759,"filtered shade, part sun/part shade",-
23,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:58:20,Spathiphyllum,Spathiphyllum (group),2023-08-31 08:48:59,Herbaceous Perennial,10.785313739329478,38.761158492850335,"full shade, part shade",-
24,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:37:02,Croton,Codiaeum variegatum,2023-08-31 08:49:01,Perennial,12.430907118290355,34.54617545154845,"full sun, part shade",-
25,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:11:24,Aloe Vera,Aloe vera,2023-08-31 08:49:02,Herbaceous Perennial,10.886440789451308,33.90257944714686,full sun,-
26,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 13:55:19,Ficus Elastica,Ficus elastica,2023-08-31 08:49:03,Perennial,14.53801209535477,37.362322532228355,"full sun, part sun/part shade",-
27,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:05:43,Sansevieria Trifasciata,Sansevieria trifasciata,2023-08-31 08:49:05,Herbaceous Perennial,13.391412534932531,31.72878582115385,"full sun, part sun/part shade",-
28,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 14:29:54,Philodendron Hederaceum,Philodendron hederaceum,2023-08-31 08:49:05,Perennial,10.630444070206824,34.44136874850895,"filtered shade, full shade",-
29,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:05:58,Schefflera Arboricola,Schefflera arboricola,2023-08-31 08:49:06,Perennial,13.59013928432446,34.57454134757282,part sun/part shade,-
30,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:44:15,Aglaonema Commutatum,Aglaonema commutatum,2023-08-31 08:49:07,Herbaceous Perennial,13.445496703630852,33.04826283430799,"full shade, part shade",-
31,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 13:32:46,Monstera Deliciosa,Monstera deliciosa,2023-08-31 08:49:08,Perennial,12.980545811578477,31.507859400789727," part sun/part shade, full sun only if soil kept moist",-
32,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 14:09:55,Tacca Integrifolia,Tacca integrifolia,2023-08-31 08:49:10,Herbaceous Perennial,12.355167475300433,36.88428583552631,"full shade, part shade",-
33,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 14:23:43,Psychopsis Papilio,-,2023-08-31 08:49:11,-,11.11337407938716,36.82980973619048,-,-
34,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:46:06,Saintpaulia Ionantha,Saintpaulia ionantha,2023-08-31 08:49:11,Herbaceous Perennial,11.098896084122915,36.19915501209302,"part shade, part sun/part shade",-
35,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:18:23,Gaillardia,Gaillardia aestivalis,2023-08-31 08:49:12,Herbaceous Perennial,13.434844641332825,33.681804853731336,full sun,-
36,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 14:05:38,Amaryllis,Hippeastrum (group),2023-08-31 08:49:13,Perennial,9.135161739561337,37.693584917744914,"full sun, part sun/part shade",-
37,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 13:45:13,Caladium Bicolor,Caladium bicolor,2023-08-31 08:49:14,Perennial,11.809089101457573,35.96845797761195,"part shade, part sun/part shade",-
38,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:49:43,Chlorophytum Comosum,Chlorophytum comosum 'Vittatum',2023-08-31 08:49:15,Herbaceous Perennial,9.890663559768381,37.478113003861004,"full shade, part shade",-
39,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 13:32:40,Araucaria Heterophylla,Araucaria heterophylla,2023-08-31 08:49:16,Perennial,9.610505008017826,33.845205504289794,part shade,-
40,Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,2023-08-30 14:04:23,Begonia,Begonia 'Art Hodes',2023-08-31 08:49:17,Herbaceous Perennial,9.057044930052761,34.724654762088974,"full sun, part shade",-
41,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 14:12:39,Medinilla Magnifica,Medinilla magnifica,2023-08-31 08:49:18,Perennial,13.361968821730102,38.30605138121546,part sun/part shade,-
42,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 13:30:18,Calliandra Haematocephala,Calliandra haematocephala,2023-08-31 08:49:19,Perennial,13.366076603137335,,full sun,-
43,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:31:09,Zamioculcas Zamiifolia,Zamioculcas zamiifolia,2023-08-31 08:49:20,Herbaceous Perennial,14.914829043334045,35.65291725097656,"part shade, part sun/part shade",-
44,Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,2023-08-30 14:02:15,Crassula Ovata,Crassula ovata,2023-08-31 08:49:21,Perennial,9.441596466334296,34.279621064139945,full sun,-
45,Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,2023-08-30 14:03:04,Epipremnum Aureum,Epipremnum aureum,2023-08-31 08:49:22,Perennial,13.210378978766645,34.58035866795741,part sun/part shade,-
